tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10665	Escherichia virus T4	1258817	0	live	5	T4p144	glycoside hydrolase family protein	glycoside hydrolase family protein			NC_000866.4	77959	79686	plus	0		
10665	Escherichia virus T4	1258647	0	live	17	T4p163, q	terminase family protein	terminase family protein			NC_000866.4	96672	98504	plus	0		
10665	Escherichia virus T4	1258733	0	live	uvsW	T4p184, dar	UvsW helicase	UvsW helicase			NC_000866.4	112677	114440	plus	0		
10665	Escherichia virus T4	1258602	0	live	32	T4p243	single-stranded DNA-binding protein	single-stranded DNA-binding protein			NC_000866.4	146948	147853	minus	0		
10665	Escherichia virus T4	1258784	0	live	dda	T4p017, sud	AAA family ATPase	AAA family ATPase			NC_000866.4	9410	10729	minus	0		
10665	Escherichia virus T4	1258751	0	live	23	T4p175	capsid protein	capsid protein			NC_000866.4	104945	106510	plus	0		
10665	Escherichia virus T4	1258822	0	live	46	T4p054	AAA family ATPase	AAA family ATPase			NC_000866.4	33302	34984	minus	0		
10665	Escherichia virus T4	1258704	0	live	uvsX	T4p041, fdsA	recombinase RecA	recombinase RecA			NC_000866.4	22386	23561	minus	0		
10665	Escherichia virus T4	1258709	0	live	asiA	T4p255	AsiA anti-sigma 70 protein	AsiA anti-sigma 70 protein			NC_000866.4	160878	161150	minus	0		
10665	Escherichia virus T4	1258740	0	live	motA	T4p262, sip	flagellar motor protein MotA	flagellar motor protein MotA			NC_000866.4	162967	163602	minus	0		
10665	Escherichia virus T4	1258685	0	live	43	T4p047	DNA polymerase	DNA polymerase			NC_000866.4	27197	29893	minus	0		
10665	Escherichia virus T4	1258623	0	live	59	T4p245	59 protein	59 protein			NC_000866.4	148543	149196	minus	0		
10665	Escherichia virus T4	1258821	0	live	45	T4p051	sliding clamp	sliding clamp			NC_000866.4	31917	32603	minus	0		
10665	Escherichia virus T4	1258680	0	live	30	T4p202, lig	DNA ligase	DNA ligase			NC_000866.4	125745	127208	minus	0		
10665	Escherichia virus T4	1258811	0	live	16	T4p162	small terminase protein	small terminase protein			NC_000866.4	96194	96688	plus	0		
10665	Escherichia virus T4	1258757	0	live	31	T4p214	co-chaperone GroES family protein	co-chaperone GroES family protein			NC_000866.4	131181	131516	minus	0		
10665	Escherichia virus T4	1258700	0	live	41	T4p039	AAA family ATPase	AAA family ATPase			NC_000866.4	20612	22039	minus	0		
10665	Escherichia virus T4	1258793	0	live	33	T4p246	late promoter transcription accessory protein	late promoter transcription accessory protein			NC_000866.4	149193	149531	minus	0		
10665	Escherichia virus T4	1258802	0	live	segE	T4p183, hoc.2	GIY-YIG nuclease family protein	GIY-YIG nuclease family protein			NC_000866.4	112057	112674	plus	0		
10665	Escherichia virus T4	1258796	0	live	pseT	T4p223	AAA family ATPase	AAA family ATPase			NC_000866.4	134002	134907	minus	0		
10665	Escherichia virus T4	1258754	0	live	34	T4p249	tail protein	tail protein			NC_000866.4	150809	154678	plus	0		
10665	Escherichia virus T4	1258710	0	live	denA	T4p229	GIY-YIG nuclease family protein	GIY-YIG nuclease family protein			NC_000866.4	137517	137951	minus	0		
10665	Escherichia virus T4	1258702	0	live	49	T4p078	recombination endonuclease VII	recombination endonuclease VII			NC_000866.4	46382	46855	minus	0		
10665	Escherichia virus T4	1258642	0	live	hoc	T4p181, eph	PKD domain-containing protein	PKD domain-containing protein			NC_000866.4	110187	111317	minus	0		
10665	Escherichia virus T4	1258703	0	live	regB	T4p113	site-specific RNA endonuclease	site-specific RNA endonuclease			NC_000866.4	62279	62740	minus	0		
10665	Escherichia virus T4	1258547	0	live	uvsY	T4p187, fdsB	recombination mediator protein UvsY	recombination mediator protein UvsY			NC_000866.4	114914	115327	minus	0		
10665	Escherichia virus T4	1258721	0	live	segC	T4p148	SegC homing endonuclease	SegC homing endonuclease			NC_000866.4	80196	80618	plus	0		
10665	Escherichia virus T4	1258638	0	live	11	T4p156	tail protein	tail protein			NC_000866.4	89893	90552	plus	0		
10665	Escherichia virus T4	1258675	0	live	17	T4p164	large terminase protein	large terminase protein			NC_000866.4	96933	98504	plus	0		
10665	Escherichia virus T4	1258643	0	live	27	T4p192	base plate hub subunit	base plate hub subunit			NC_000866.4	117228	118403	plus	0		
10665	Escherichia virus T4	1258640	0	live	51	T4p191	baseplate hub assembly protein	baseplate hub assembly protein			NC_000866.4	116479	117228	plus	0		
10665	Escherichia virus T4	1258668	0	live	dmd	T4p038, 61.5	Dmd discriminator of mRNA degradation	Dmd discriminator of mRNA degradation			NC_000866.4	20371	20553	minus	0		
10665	Escherichia virus T4	1258629	0	live	37	T4p252	gp37 long tail fiber, distal subunit	gp37 long tail fiber, distal subunit			NC_000866.4	156542	159622	plus	0		
10665	Escherichia virus T4	1258610	0	live	t	T4p254, rV, stII	t holin lysis mediator	t holin lysis mediator			NC_000866.4	160221	160877	plus	0		
10665	Escherichia virus T4	1258585	0	live	e	T4p123	glycoside hydrolase family protein	glycoside hydrolase family protein			NC_000866.4	66503	66997	minus	0		
10665	Escherichia virus T4	1258665	0	live	67	T4p170, pip	prohead core protein	prohead core protein			NC_000866.4	102781	103023	plus	0		
10665	Escherichia virus T4	1258789	0	live	12	T4p157	tail fiber protein	tail fiber protein			NC_000866.4	90549	92132	plus	0		
10665	Escherichia virus T4	1258783	0	live	soc	T4p029	Soc small outer capsid protein	Soc small outer capsid protein			NC_000866.4	15331	15573	minus	0		
10665	Escherichia virus T4	1258573	0	live	15	T4p161	tail sheath stabilizer and completion protein	tail sheath stabilizer and completion protein			NC_000866.4	95367	96185	plus	0		
10665	Escherichia virus T4	1258563	0	live	rnlB	T4p178, 24.1	RNA ligase, Rnl2 family	RNA ligase, Rnl2 family			NC_000866.4	108636	109640	minus	0		
10665	Escherichia virus T4	1258769	0	live	68	T4p171	prohead core protein	prohead core protein			NC_000866.4	103023	103448	plus	0		
10665	Escherichia virus T4	1258808	0	live	10	T4p155	tail protein	tail protein			NC_000866.4	88085	89893	plus	0		
10665	Escherichia virus T4	1258697	0	live	28	T4p193	base plate distal hub subunit	base plate distal hub subunit			NC_000866.4	118348	118881	plus	0		
10665	Escherichia virus T4	1258781	0	live	47	T4p057	metallophosphoesterase	metallophosphoesterase			NC_000866.4	35428	36447	minus	0		
10665	Escherichia virus T4	1258656	0	live	17	T4p166	large terminase protein	large terminase protein			NC_000866.4	97254	98504	plus	0		
10665	Escherichia virus T4	1258545	0	live	17	T4p165	large terminase protein	large terminase protein			NC_000866.4	96987	98504	plus	0		
10665	Escherichia virus T4	1258787	0	live	44	T4p050	AAA family ATPase	AAA family ATPase			NC_000866.4	30907	31866	minus	0		
10665	Escherichia virus T4	1258630	0	live	wac	T4p158	neck protein fibritin	neck protein fibritin			NC_000866.4	92129	93592	plus	0		
10665	Escherichia virus T4	1258582	0	live	20	T4p169	portal protein	portal protein			NC_000866.4	101207	102781	plus	0		
10665	Escherichia virus T4	1258559	0	live	62	T4p049	DNA polymerase clamp loader subunit A	DNA polymerase clamp loader subunit A			NC_000866.4	30342	30905	minus	0		
10665	Escherichia virus T4	1258798	0	live	61	T4p033	DNA primase subunit	DNA primase subunit			NC_000866.4	17935	18963	minus	0		
10665	Escherichia virus T4	1258794	0	live	arn	T4p257, asiA.1	Arn inhibitor of MrcBC restriction endonuclease (anti-restriction nuclease)	Arn inhibitor of MrcBC restriction endonuclease (anti-restriction nuclease)			NC_000866.4	161312	161590	minus	0		
10665	Escherichia virus T4	1258775	0	live	22	T4p174	prohead core protein	prohead core protein			NC_000866.4	104117	104926	plus	0		
10665	Escherichia virus T4	1258744	0	live	mobD	T4p096, nrdC.12, tk.-10	HNH endonuclease	HNH endonuclease			NC_000866.4	56429	57208	minus	0		
10665	Escherichia virus T4	1258722	0	live	I-TevI	T4p238	GIY-YIG nuclease family protein	GIY-YIG nuclease family protein			NC_000866.4	143694	144431	minus	0		
10665	Escherichia virus T4	1258706	0	live	38	T4p253	gp38 distal long tail fiber assembly catalyst	gp38 distal long tail fiber assembly catalyst			NC_000866.4	159649	160200	plus	0		
10665	Escherichia virus T4	1258692	0	live	nudE	T4p124, e.1	NUDIX hydrolase	NUDIX hydrolase			NC_000866.4	67035	67490	minus	0		
10665	Escherichia virus T4	1258672	0	live	motB	T4p011, dexA.-3	MotB modifier of transcription	MotB modifier of transcription			NC_000866.4	6653	7141	minus	0		
10665	Escherichia virus T4	1258659	0	live	segB	T4p132, tRNA.1	GIY-YIG nuclease family protein	GIY-YIG nuclease family protein			NC_000866.4	71253	71918	minus	0		
10665	Escherichia virus T4	1258657	0	live	sp	T4p036, 61.3, rIV	sp spackle periplasmic protein	sp spackle periplasmic protein			NC_000866.4	19758	20051	minus	0		
10665	Escherichia virus T4	1258597	0	live	18	T4p167	tail sheath subtilisin-like domain-containing protein	tail sheath subtilisin-like domain-containing protein			NC_000866.4	98536	100515	plus	0		
10665	Escherichia virus T4	1258587	0	live	24	T4p177, os	capsid vertex protein	capsid vertex protein			NC_000866.4	107323	108606	plus	0		
10665	Escherichia virus T4	1258554	0	live	segD	T4p176, 23.1	SegD homing endonuclease	SegD homing endonuclease			NC_000866.4	106561	107232	minus	0		
10665	Escherichia virus T4	1258771	0	live	21	T4p172	prohead core scaffolding protein and protease	prohead core scaffolding protein and protease			NC_000866.4	103448	104086	plus	0		
10665	Escherichia virus T4	1258693	0	live	53	T4p143	baseplate wedge protein 53	baseplate wedge protein 53			NC_000866.4	77385	77975	plus	0		
10665	Escherichia virus T4	1258641	0	live	29	T4p194	gp29 baseplate hub subunit, tail length determinator	gp29 baseplate hub subunit, tail length determinator			NC_000866.4	118878	120650	plus	0		
10665	Escherichia virus T4	1258790	0	live	36	T4p251	tail fiber protein	tail fiber protein			NC_000866.4	155868	156533	plus	0		
10665	Escherichia virus T4	1258760	0	live	alt	T4p200	RNA polymerase ADP-ribosylase	RNA polymerase ADP-ribosylase			NC_000866.4	123454	125502	minus	0		
10665	Escherichia virus T4	1258688	0	live	modB	T4p021, dda.4 and dda.5, modA.1	ModB ADP-ribosylase	ModB ADP-ribosylase			NC_000866.4	12507	13130	minus	0		
10665	Escherichia virus T4	1258591	0	live	rI	T4p104, mobD.8, tk.-2	rI lysis inhibition regulator, membrane protein	rI lysis inhibition regulator, membrane protein			NC_000866.4	59202	59495	minus	0		
10665	Escherichia virus T4	1258569	0	live	rI.-1	T4p103, mobD.6, tk.-3 and tk.-4	DUF5856 family protein	DUF5856 family protein			NC_000866.4	58819	59205	minus	0		
10665	Escherichia virus T4	1258568	0	live	modA	T4p020, dda.3	ModA RNA polymerase ADP-ribosylase	ModA RNA polymerase ADP-ribosylase			NC_000866.4	11908	12510	minus	0		
